,Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,year,Venue
7,SPD Smith,131.0,0.0,132.0,14.0,1.0,99.24,1.0,India,Bengaluru,2020,away
15,SPD Smith,108.0,136.0,107.0,9.0,1.0,100.93,1.0,South Africa,Durban,2016,away
30,SPD Smith,98.0,0.0,102.0,9.0,1.0,96.07,2.0,India,Rajkot,2020,away
43,SPD Smith,85.0,201.0,119.0,6.0,0.0,71.42,1.0,England,Birmingham,2019,away
49,SPD Smith,78.0,145.0,107.0,5.0,0.0,72.89,2.0,West Indies,Bridgetown,2016,away
53,SPD Smith,76.0,129.0,94.0,3.0,0.0,80.85,2.0,South Africa,Paarl,2020,away
57,SPD Smith,74.0,135.0,95.0,5.0,2.0,77.89,1.0,West Indies,Basseterre,2016,away
67,SPD Smith,70.0,133.0,87.0,7.0,0.0,80.45,1.0,England,Lord's,2015,away
86,SPD Smith,63.0,111.0,71.0,5.0,0.0,88.73,1.0,India,Indore,2017,away
96,SPD Smith,59.0,118.0,76.0,8.0,0.0,77.63,2.0,India,Kolkata,2017,away
98,SPD Smith,58.0,124.0,92.0,5.0,0.0,63.04,2.0,Sri Lanka,Colombo (RPS),2016,away
105,SPD Smith,56.0,104.0,77.0,5.0,0.0,72.72,1.0,England,Birmingham,2017,away
153,SPD Smith,46.0,106.0,59.0,4.0,0.0,77.96,1.0,West Indies,Bridgetown,2016,away
163,SPD Smith,44.0,62.0,54.0,3.0,1.0,81.48,1.0,England,Southampton,2015,away
198,SPD Smith,38.0,64.0,34.0,5.0,0.0,111.76,1.0,England,Lord's,2019,away
42,SPD Smith,30.0,34.0,33.0,5.0,0.0,90.9,2.0,Sri Lanka,Colombo (RPS),2016,away
64,SPD Smith,26.0,60.0,39.0,0.0,0.0,66.66,2.0,South Africa,Port Elizabeth,2011,away
77,SPD Smith,25.0,37.0,33.0,3.0,0.0,75.75,2.0,England,Manchester,2015,away
116,SPD Smith,21.0,21.0,20.0,2.0,0.0,105.0,1.0,England,Manchester,2012,away
117,SPD Smith,21.0,51.0,38.0,1.0,0.0,55.26,1.0,Ireland,Belfast,2015,away
118,SPD Smith,21.0,56.0,35.0,1.0,0.0,60.0,2.0,New Zealand,Hamilton,2016,away
119,SPD Smith,21.0,61.0,36.0,2.0,0.0,58.33,1.0,South Africa,Port Elizabeth,2016,away
136,SPD Smith,20.0,32.0,26.0,3.0,0.0,76.92,1.0,South Africa,Potchefstroom,2020,away
153,SPD Smith,18.0,34.0,28.0,0.0,0.0,64.28,2.0,Sri Lanka,Hambantota,2011,away
156,SPD Smith,18.0,14.0,17.0,3.0,0.0,105.88,2.0,New Zealand,Auckland,2016,away
172,SPD Smith,16.0,31.0,25.0,1.0,0.0,64.0,1.0,India,Nagpur,2017,away
194,SPD Smith,14.0,21.0,12.0,2.0,0.0,116.66,2.0,South Africa,Johannesburg,2016,away
9,SPD Smith,13.0,29.0,17.0,1.0,0.0,76.47,1.0,South Africa,Bloemfontein,2020,away
18,SPD Smith,12.0,30.0,28.0,1.0,0.0,42.85,2.0,England,Manchester,2015,away
80,SPD Smith,8.0,16.0,13.0,0.0,0.0,61.53,2.0,England,Lord's,2012,away
85,SPD Smith,8.0,21.0,11.0,2.0,0.0,72.72,1.0,South Africa,Centurion,2016,away
119,SPD Smith,6.0,10.0,10.0,1.0,0.0,60.0,2.0,West Indies,Providence,2016,away
155,SPD Smith,5.0,15.0,12.0,0.0,0.0,41.66,1.0,England,Leeds,2015,away
183,SPD Smith,4.0,17.0,11.0,0.0,0.0,36.36,1.0,New Zealand,Auckland,2015,away
16,SPD Smith,3.0,5.0,5.0,0.0,0.0,60.0,1.0,India,Bengaluru,2017,away
38,SPD Smith,2.0,12.0,12.0,0.0,0.0,16.66,2.0,New Zealand,Wellington,2016,away
69,SPD Smith,1.0,7.0,1.0,0.0,0.0,100.0,1.0,Zimbabwe,Harare,2014,away
84,SPD Smith,1.0,8.0,5.0,0.0,0.0,20.0,2.0,India,Chennai,2017,away
151,SPD Smith,0.0,2.0,2.0,0.0,0.0,0.0,2.0,South Africa,Cape Town,2016,away
